"Names","Team","Season","Active_Inactive","Week","Game_Designation","Injury_Type"
"Robert Alford","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Zach Allen","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Budda Baker","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Kelvin Beachum","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Eno Benjamin","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Aaron Brewer","Arizona Cardinals","2021","Active",1,"Healthy","None"
"James Conner","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Jack Crawford","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Darrell Daniels","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Darqueze Dennard","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Chase Edmonds","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Zach Ertz","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Kylie Fitts","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Leki Fotu","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Max Garcia","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Dennis Gardeck","Arizona Cardinals","2021","Out",1,"Out"," Acl"
"Antonio Hamilton","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Sean Harlow","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Demetrius Harris","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Jordan Hicks","Arizona Cardinals","2021","Active",1,"Healthy","None"
"DeAndre Hopkins","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Rodney Hudson","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Devon Kennard","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Zach Kerr","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Rashard Lawrence","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Colt McCoy","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Joshua Miles","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Rondale Moore","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Byron Murphy","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Justin Murray","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Kyler Murray","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Kyle Nelson","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Corey Peters","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Jordan Phillips","Arizona Cardinals","2021","Out",1,"Injured Reserve","None"
"Justin Pugh","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Zeke Turner","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Tanner Vallejo","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Jonathan Ward","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Charles Washington","Arizona Cardinals","2021","Active",1,"Healthy","None"
"J.J. Watt","Arizona Cardinals","2021","Active",1,"Physically Unable to Perform","None"
"David Wells","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Antoine Wesley","Arizona Cardinals","2021","Out",1,"Out"," Illness"
"James Wiggins","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Maxx Williams","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Marco Wilson","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Brian Winters","Arizona Cardinals","2021","Active",1,"Healthy","None"
"Robert Alford","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Zach Allen","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Budda Baker","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Kelvin Beachum","Arizona Cardinals","2021","Active",2,"Questionable"," Ribs"
"Eno Benjamin","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Aaron Brewer","Arizona Cardinals","2021","Active",2,"Healthy","None"
"James Conner","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Jack Crawford","Arizona Cardinals","2021","Out",2,"Injured Reserve","None"
"Darrell Daniels","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Darqueze Dennard","Arizona Cardinals","2021","Out",2,"Injured Reserve","None"
"Chase Edmonds","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Zach Ertz","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Kylie Fitts","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Leki Fotu","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Max Garcia","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Dennis Gardeck","Arizona Cardinals","2021","Out",2,"Injured Reserve","None"
"Antonio Hamilton","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Sean Harlow","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Demetrius Harris","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Jordan Hicks","Arizona Cardinals","2021","Active",2,"Healthy","None"
"DeAndre Hopkins","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Rodney Hudson","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Devon Kennard","Arizona Cardinals","2021","Out",2,"Out"," Hamstring"
"Zach Kerr","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Rashard Lawrence","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Colt McCoy","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Joshua Miles","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Rondale Moore","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Byron Murphy","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Justin Murray","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Kyler Murray","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Kyle Nelson","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Corey Peters","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Jordan Phillips","Arizona Cardinals","2021","Out",2,"Injured Reserve","None"
"Justin Pugh","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Zeke Turner","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Tanner Vallejo","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Jonathan Ward","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Charles Washington","Arizona Cardinals","2021","Active",2,"Healthy","None"
"J.J. Watt","Arizona Cardinals","2021","Active",2,"Healthy","None"
"David Wells","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Antoine Wesley","Arizona Cardinals","2021","Active",2,"Healthy","None"
"James Wiggins","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Maxx Williams","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Marco Wilson","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Brian Winters","Arizona Cardinals","2021","Active",2,"Healthy","None"
"Robert Alford","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Zach Allen","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Budda Baker","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Kelvin Beachum","Arizona Cardinals","2021","Out",3,"Questionable"," Ribs"
"Eno Benjamin","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Aaron Brewer","Arizona Cardinals","2021","Active",3,"Healthy","None"
"James Conner","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Jack Crawford","Arizona Cardinals","2021","Out",3,"Injured Reserve","None"
"Darrell Daniels","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Darqueze Dennard","Arizona Cardinals","2021","Out",3,"Injured Reserve","None"
"Chase Edmonds","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Zach Ertz","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Kylie Fitts","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Leki Fotu","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Max Garcia","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Dennis Gardeck","Arizona Cardinals","2021","Out",3,"Injured Reserve","None"
"Antonio Hamilton","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Sean Harlow","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Demetrius Harris","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Jordan Hicks","Arizona Cardinals","2021","Active",3,"Healthy","None"
"DeAndre Hopkins","Arizona Cardinals","2021","Active",3,"Questionable"," Ribs"
"Rodney Hudson","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Devon Kennard","Arizona Cardinals","2021","Active",3,"Questionable"," Hamstring"
"Zach Kerr","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Rashard Lawrence","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Colt McCoy","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Joshua Miles","Arizona Cardinals","2021","Out",3,"Out"," Ankle"
"Rondale Moore","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Byron Murphy","Arizona Cardinals","2021","Active",3,"Questionable"," Ankle"
"Justin Murray","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Kyler Murray","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Kyle Nelson","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Corey Peters","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Jordan Phillips","Arizona Cardinals","2021","Out",3,"Injured Reserve","None"
"Justin Pugh","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Zeke Turner","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Tanner Vallejo","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Jonathan Ward","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Charles Washington","Arizona Cardinals","2021","Active",3,"Healthy","None"
"J.J. Watt","Arizona Cardinals","2021","Active",3,"Healthy","None"
"David Wells","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Antoine Wesley","Arizona Cardinals","2021","Active",3,"Healthy","None"
"James Wiggins","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Maxx Williams","Arizona Cardinals","2021","Active",3,"Healthy","None"
"Marco Wilson","Arizona Cardinals","2021","Active",3,"Questionable"," Ankle"
"Brian Winters","Arizona Cardinals","2021","Out",3,"Out"," Personal"
"Robert Alford","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Zach Allen","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Budda Baker","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Kelvin Beachum","Arizona Cardinals","2021","Out",4,"Questionable"," Ribs"
"Eno Benjamin","Arizona Cardinals","2021","Out",4,"Out"," Hamstring"
"Aaron Brewer","Arizona Cardinals","2021","Active",4,"Healthy","None"
"James Conner","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Jack Crawford","Arizona Cardinals","2021","Out",4,"Injured Reserve","None"
"Darrell Daniels","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Darqueze Dennard","Arizona Cardinals","2021","Out",4,"Injured Reserve","None"
"Chase Edmonds","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Zach Ertz","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Kylie Fitts","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Leki Fotu","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Max Garcia","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Dennis Gardeck","Arizona Cardinals","2021","Active",4,"Injured Reserve","None"
"Antonio Hamilton","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Sean Harlow","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Demetrius Harris","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Jordan Hicks","Arizona Cardinals","2021","Active",4,"Healthy","None"
"DeAndre Hopkins","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Rodney Hudson","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Devon Kennard","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Zach Kerr","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Rashard Lawrence","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Colt McCoy","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Joshua Miles","Arizona Cardinals","2021","Out",4,"Injured Reserve","None"
"Rondale Moore","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Byron Murphy","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Justin Murray","Arizona Cardinals","2021","Out",4,"Questionable"," Back"
"Kyler Murray","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Kyle Nelson","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Corey Peters","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Jordan Phillips","Arizona Cardinals","2021","Out",4,"Injured Reserve","None"
"Justin Pugh","Arizona Cardinals","2021","Active",4,"Questionable"," Back"
"Zeke Turner","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Tanner Vallejo","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Jonathan Ward","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Charles Washington","Arizona Cardinals","2021","Out",4,"Injured Reserve","None"
"J.J. Watt","Arizona Cardinals","2021","Active",4,"Healthy","None"
"David Wells","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Antoine Wesley","Arizona Cardinals","2021","Active",4,"Healthy","None"
"James Wiggins","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Maxx Williams","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Marco Wilson","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Brian Winters","Arizona Cardinals","2021","Active",4,"Healthy","None"
"Robert Alford","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Zach Allen","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Budda Baker","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Kelvin Beachum","Arizona Cardinals","2021","Active",5,"Questionable"," Ribs"
"Eno Benjamin","Arizona Cardinals","2021","Active",5,"Questionable"," Hamstring"
"Aaron Brewer","Arizona Cardinals","2021","Active",5,"Healthy","None"
"James Conner","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Jack Crawford","Arizona Cardinals","2021","Out",5,"Injured Reserve","None"
"Darrell Daniels","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Darqueze Dennard","Arizona Cardinals","2021","Out",5,"Injured Reserve","None"
"Chase Edmonds","Arizona Cardinals","2021","Active",5,"Questionable"," Shoulder"
"Zach Ertz","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Kylie Fitts","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Leki Fotu","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Max Garcia","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Dennis Gardeck","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Antonio Hamilton","Arizona Cardinals","2021","Active",5,"Questionable"," Ankle"
"Sean Harlow","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Demetrius Harris","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Jordan Hicks","Arizona Cardinals","2021","Active",5,"Healthy","None"
"DeAndre Hopkins","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Rodney Hudson","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Devon Kennard","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Zach Kerr","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Rashard Lawrence","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Colt McCoy","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Joshua Miles","Arizona Cardinals","2021","Out",5,"Injured Reserve","None"
"Rondale Moore","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Byron Murphy","Arizona Cardinals","2021","Out",5,"Out"," Ribs"
"Justin Murray","Arizona Cardinals","2021","Out",5,"Out"," Back"
"Kyler Murray","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Kyle Nelson","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Corey Peters","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Jordan Phillips","Arizona Cardinals","2021","Out",5,"Injured Reserve","None"
"Justin Pugh","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Zeke Turner","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Tanner Vallejo","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Jonathan Ward","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Charles Washington","Arizona Cardinals","2021","Out",5,"Injured Reserve","None"
"J.J. Watt","Arizona Cardinals","2021","Active",5,"Healthy","None"
"David Wells","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Antoine Wesley","Arizona Cardinals","2021","Active",5,"Healthy","None"
"James Wiggins","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Maxx Williams","Arizona Cardinals","2021","Active",5,"Questionable"," Shoulder"
"Marco Wilson","Arizona Cardinals","2021","Out",5,"Questionable"," Ribs"
"Brian Winters","Arizona Cardinals","2021","Active",5,"Healthy","None"
"Robert Alford","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Zach Allen","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Budda Baker","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Kelvin Beachum","Arizona Cardinals","2021","Active",6,"Questionable"," Ribs"
"Eno Benjamin","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Aaron Brewer","Arizona Cardinals","2021","Active",6,"Healthy","None"
"James Conner","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Jack Crawford","Arizona Cardinals","2021","Out",6,"Injured Reserve","None"
"Darrell Daniels","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Darqueze Dennard","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Chase Edmonds","Arizona Cardinals","2021","Active",6,"Questionable"," Shoulder"
"Zach Ertz","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Kylie Fitts","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Leki Fotu","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Max Garcia","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Dennis Gardeck","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Antonio Hamilton","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Sean Harlow","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Demetrius Harris","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Jordan Hicks","Arizona Cardinals","2021","Active",6,"Questionable"," Toe"
"DeAndre Hopkins","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Rodney Hudson","Arizona Cardinals","2021","Out",6,"Out"," Ribs"
"Devon Kennard","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Zach Kerr","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Rashard Lawrence","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Colt McCoy","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Joshua Miles","Arizona Cardinals","2021","Active",6,"Injured Reserve","None"
"Rondale Moore","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Byron Murphy","Arizona Cardinals","2021","Active",6,"Questionable"," Ribs"
"Justin Murray","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Kyler Murray","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Kyle Nelson","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Corey Peters","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Jordan Phillips","Arizona Cardinals","2021","Active",6,"Injured Reserve","None"
"Justin Pugh","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Zeke Turner","Arizona Cardinals","2021","Out",6,"Injured Reserve","None"
"Tanner Vallejo","Arizona Cardinals","2021","Out",6,"Out"," Hand"
"Jonathan Ward","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Charles Washington","Arizona Cardinals","2021","Out",6,"Injured Reserve","None"
"J.J. Watt","Arizona Cardinals","2021","Active",6,"Healthy","None"
"David Wells","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Antoine Wesley","Arizona Cardinals","2021","Active",6,"Healthy","None"
"James Wiggins","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Maxx Williams","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Marco Wilson","Arizona Cardinals","2021","Active",6,"Questionable"," Ribs"
"Brian Winters","Arizona Cardinals","2021","Active",6,"Healthy","None"
"Robert Alford","Arizona Cardinals","2021","Active",7,"Healthy","None"
"Zach Allen","Arizona Cardinals","2021","Active",7,"Healthy","None"
"Budda Baker","Arizona Cardinals","2021","Active",7,"Healthy","None"
"Kelvin Beachum","Arizona Cardinals","2021","Active",7,"Healthy","None"
"Eno Benjamin","Arizona Cardinals","2021","Active",7,"Healthy","None"
"Aaron Brewer","Arizona Cardinals","2021","Active",7,"Healthy","None"
"James Conner","Arizona Cardinals","2021","Active",7,"Healthy","None"
"Jack Crawford","Arizona Cardinals","2021","Out",7,"Injured Reserve","None"
"Darrell Daniels","Arizona Cardinals","2021","Out",7,"Out"," Hamstring"
"Darqueze Dennard","Arizona Cardinals","2021","Active",7,"Healthy","None"
"Chase Edmonds","Arizona Cardinals","2021","Active",7,"Healthy","None"
"Zach Ertz","Arizona Cardinals","2021","Active",7,"Healthy","None"
"Kylie Fitts","Arizona Cardinals","2021","Out",7,"Injured Reserve","None"
